2021-12-28 19:12:51 INFO  ManageDriver :32 - Launching Chrome Browser
2021-12-28 19:12:383 INFO  OurStoresPage :32 - accepting the alert : [[ChromeDriver: chrome on WINDOWS (8c34e9a695a25efe53ab8628b3b2ca49)] -> css selector: .dismissButton]
2021-12-28 19:12:04 INFO  ManageDriver :32 - Launching Chrome Browser
2021-12-28 19:12:99 INFO  SummerDressesPage :48 - verifying summer page text : [[ChromeDriver: chrome on WINDOWS (97f17b1014db9a15a583833cb40c4ba6)] -> xpath: (//span[@class='cat-name'])[1]]
2021-12-28 19:12:61 INFO  ManageDriver :32 - Launching Chrome Browser
2021-12-28 19:12:893 INFO  SummerDressesPage :48 - verifying summer page text : [[ChromeDriver: chrome on WINDOWS (0131c015643ee8cc616cda72b0540e1c)] -> xpath: (//span[@class='cat-name'])[1]]
2021-12-28 19:12:954 INFO  SummerDressesPage :53 - moving slider to change price : [[ChromeDriver: chrome on WINDOWS (0131c015643ee8cc616cda72b0540e1c)] -> xpath: //div[@id='left_column']//a[2]]
2021-12-28 19:12:206 INFO  ManageDriver :32 - Launching Chrome Browser
2021-12-28 19:12:465 INFO  HomePage :56 - clicking on sign in button : [[ChromeDriver: chrome on WINDOWS (9ea09d658f82f94d994c57e4a07362c8)] -> xpath: //a[normalize-space()='Sign in']]
2021-12-28 19:12:291 INFO  AuthenticationPage :37 - Click on the create an account tab : [[ChromeDriver: chrome on WINDOWS (9ea09d658f82f94d994c57e4a07362c8)] -> xpath: //span[normalize-space()='Create an account']]<br>
2021-12-28 19:12:883 INFO  CreateAccountPage :59 - Entering firstname[[ChromeDriver: chrome on WINDOWS (9ea09d658f82f94d994c57e4a07362c8)] -> xpath: //input[@id='customer_firstname']]
2021-12-28 19:12:19 INFO  CreateAccountPage :61 - Entering lastname[[ChromeDriver: chrome on WINDOWS (9ea09d658f82f94d994c57e4a07362c8)] -> xpath: //input[@id='customer_lastname']]
2021-12-28 19:12:191 INFO  CreateAccountPage :63 - Entering password[[ChromeDriver: chrome on WINDOWS (9ea09d658f82f94d994c57e4a07362c8)] -> xpath: //input[@id='passwd']]
2021-12-28 19:12:398 INFO  CreateAccountPage :65 - Entering address[[ChromeDriver: chrome on WINDOWS (9ea09d658f82f94d994c57e4a07362c8)] -> xpath: //input[@id='address1']]
2021-12-28 19:12:671 INFO  CreateAccountPage :67 - Entering city[[ChromeDriver: chrome on WINDOWS (9ea09d658f82f94d994c57e4a07362c8)] -> xpath: //input[@id='city']]
2021-12-28 19:12:804 INFO  CreateAccountPage :69 - Selecting the state[[ChromeDriver: chrome on WINDOWS (9ea09d658f82f94d994c57e4a07362c8)] -> xpath: //select[@id='id_state']]
2021-12-28 19:12:948 INFO  CreateAccountPage :71 - Entering postalcode[[ChromeDriver: chrome on WINDOWS (9ea09d658f82f94d994c57e4a07362c8)] -> xpath: //input[@id='postcode']]
2021-12-28 19:12:75 INFO  CreateAccountPage :73 - Entering contact number[[ChromeDriver: chrome on WINDOWS (9ea09d658f82f94d994c57e4a07362c8)] -> xpath: //input[@id='phone_mobile']]
2021-12-28 19:12:240 INFO  CreateAccountPage :78 - Clicking on register link[[ChromeDriver: chrome on WINDOWS (9ea09d658f82f94d994c57e4a07362c8)] -> xpath: //button[@id='submitAccount']]
2021-12-28 19:12:204 INFO  CreateAccountPage :82 - Verifying the message[[ChromeDriver: chrome on WINDOWS (9ea09d658f82f94d994c57e4a07362c8)] -> xpath: //h1[contains(text(),'My account')]]
2021-12-28 19:12:274 INFO  MyAccountPage :23 - verify the account name : [[ChromeDriver: chrome on WINDOWS (9ea09d658f82f94d994c57e4a07362c8)] -> css selector: a[title='View my customer account'] span]
2021-12-28 19:12:962 INFO  ManageDriver :32 - Launching Chrome Browser
2021-12-28 19:12:315 INFO  HomePage :56 - clicking on sign in button : [[ChromeDriver: chrome on WINDOWS (abf110e4ee33601ed44630ae8a5ef294)] -> xpath: //a[normalize-space()='Sign in']]
2021-12-28 19:12:146 INFO  AuthenticationPage :37 - Click on the create an account tab : [[ChromeDriver: chrome on WINDOWS (abf110e4ee33601ed44630ae8a5ef294)] -> xpath: //span[normalize-space()='Create an account']]<br>
2021-12-28 19:12:531 INFO  CreateAccountPage :59 - Entering firstname[[ChromeDriver: chrome on WINDOWS (abf110e4ee33601ed44630ae8a5ef294)] -> xpath: //input[@id='customer_firstname']]
2021-12-28 19:12:684 INFO  CreateAccountPage :61 - Entering lastname[[ChromeDriver: chrome on WINDOWS (abf110e4ee33601ed44630ae8a5ef294)] -> xpath: //input[@id='customer_lastname']]
